Κωδικός;Ειδικότητα
ΤΕ01.31;ΧΕΙΡΙΣΤΕΣ ΙΑΤΡΙΚΩΝ ΣΥΣΚΕΥΩΝ
ΤΕ02.01;ΣΧΕΔΙΑΣΤΕΣ-ΔΟΜΙΚΟΙ
ΤΕ02.02;ΜΗΧΑΝΟΛΟΓΟΙ
ΤΕ02.03;ΧΗΜΙΚΟΙ ΕΡΓΑΣΤΗΡΙΩΝ
ΤΕ02.04;ΟΙΚΟΝΟΜΙΑΣ-ΔΙΟΙΚΗΣΗΣ
ΤΕ02.05;ΕΦΑΡΜΟΣΜΕΝΩΝ ΤΕΧΝΩΝ
ΤΕ02.07;ΓΕΩΠΟΝΙΑΣ
ΤΕ16;ΜΟΥΣΙΚΗΣ ΜΗ ΑΝΩΤΑΤΩΝ ΙΔΡΥΜΑΤΩΝ
ΧΟΡΟΣ-ΚΙΝΗΣΗ;ΧΟΡΟΣ-ΚΙΝΗΣΗ
ΧΟΡΟΣ-ΚΛΑΣΣΙΚΟΣ;ΧΟΡΟΣ-ΚΛΑΣΣΙΚΟΣ
ΧΟΡΟΣ-ΣΥΓΧΡΟΝΟΣ;ΧΟΡΟΣ-ΣΥΓΧΡΟΝΟΣ
ΔΕ1;ΔΕ Διοικητικού-Λογιστικού
ΔΕ2;ΔΕ ΔΙΟΙΚΗΤΙΚΟΥ-ΛΟΓΙΣΤΙΚΟΥ
ΔΕ4;ΔΕ Πληροφορικής
ΔΕ5;ΔΕ Τεχνικού
ΔΕ6;ΔΕ ΤΕΧΝΙΚΟΥ
ΔΕ8;ΔΕ Οδηγών
ΔΕ9;ΔΕ Προσωπικού Πρόνοιας
ΠΕ1;ΠΕ Διοικητικού-Οικονομικού
ΠΕ2;ΠΕ ΔΙΟΙΚΗΤΙΚΟΥ-ΟΙΚΟΝΟΜΙΚΟΥ
ΠΕ3;ΠΕ Πληροφορικής
ΠΕ4;ΠΕ ΠΛΗΡΟΦΟΡΙΚΗΣ
ΤΕ1;ΤΕ Διοικητικού-Λογιστικού
ΤΕ2;ΤΕ ΔΙΟΙΚΗΤΙΚΟΥ-ΛΟΓΙΣΤΙΚΟΥ
ΤΕ3;ΤΕ ΔΙΟΙΚΗΤΙΚΟΥ-ΛΟΓΙΣΤΙΚΟΥ (ΠΡΟΣΩΡ)
ΤΕ4;ΤΕ Πληροφορικής
ΤΕ5;ΤΕ Βιβλιοθηκονομίας
ΤΕ6;ΤΕ ΠΛΗΡΟΦΟΡΙΚΗΣ
ΥΕ0;ΥΕ Προσωπικού Καθαριότητας Εσωτερικών Χώρων
ΥΕ1;ΥΕ ΠΡΟΣΩΠΙΚΟΥ ΚΑΘΑΡΙΟΤΗΤΑΣ ΕΣΩΤΕΡΙΚΩΝ ΧΩΡΩΝ
ΥΕ2;ΥΕ Επιμελητών-Κλητήρων
